
=== STD TABLE: CEC 2014 ===
Function                     MSDBO           DBO            AO           MGO           FFO          AVOA           NGO           ZOA       CoatiOA
--------------------------------------------------------------------------------------------------------------------------------------------------
CEC2014_F1              8.2206e+03    1.8651e+05    1.2419e+05    7.2314e+04    1.1375e+06    1.8391e+05    2.9550e+04    6.2560e+05    9.9251e+04
CEC2014_F2              2.3227e+04    5.4755e+05    3.8254e+05    1.2452e+05    1.5972e+06    4.8071e+05    1.4868e+05    1.3489e+06    2.3580e+05
CEC2014_F3              3.3648e+04    1.8153e+06    2.2701e+06    6.7424e+05    6.3221e+06    7.5500e+05    4.2415e+05    2.3635e+06    4.6053e+05
CEC2014_F4              3.2905e+01    3.2204e+02    9.6655e+01    4.3258e+01    6.4880e+02    1.4766e+02    3.1496e+01    6.3059e+02    9.2951e+01
CEC2014_F5              1.1819e+01    5.5926e+02    9.7438e+01    6.8555e+01    2.1011e+02    2.0569e+02    5.3167e+01    3.0953e+02    1.7608e+02
CEC2014_F6              3.5967e+01    8.8772e+02    1.0685e+02    1.5967e+02    4.1185e+02    5.7181e+02    4.2589e+01    1.2509e+03    1.8916e+02
CEC2014_F7              2.8565e+01    7.1476e+02    1.2279e+02    1.3190e+02    9.3299e+02    4.8279e+02    7.4421e+01    1.7521e+03    3.9301e+02
CEC2014_F8              4.3560e+01    1.3513e+03    5.1682e+02    1.6046e+02    1.3318e+03    1.1731e+03    4.1219e+02    1.6589e+03    7.5491e+02
CEC2014_F9              5.5102e+01    1.9467e+03    2.9927e+02    1.3032e+03    1.1277e+03    3.5776e+02    1.7510e+02    2.6375e+03    5.1778e+02
CEC2014_F10             9.7558e+01    1.8285e+03    8.0776e+02    5.7092e+02    1.6580e+03    1.0758e+03    2.5974e+02    3.6371e+03    6.7878e+02
CEC2014_F11             1.3408e+02    3.9216e+03    6.5151e+02    8.7902e+02    1.1062e+03    2.2238e+03    3.0321e+02    3.2359e+03    1.3264e+03
CEC2014_F12             1.6930e+02    2.1908e+03    5.4903e+02    7.0062e+02    3.3783e+03    6.5142e+03    4.2574e+02    9.0869e+03    2.1950e+03
CEC2014_F13             2.3803e+02    1.0358e+04    2.2274e+03    1.6446e+03    3.4545e+03    6.6462e+03    5.8857e+02    4.7008e+03    2.1109e+03
CEC2014_F14             3.1839e+02    1.3175e+04    1.2309e+03    3.5021e+03    5.3460e+03    6.5325e+03    8.1718e+02    7.9476e+03    1.7979e+03
CEC2014_F15             2.7662e+02    5.1620e+03    2.8853e+03    2.9135e+03    7.2919e+03    5.8040e+03    1.2506e+03    1.4287e+04    4.2494e+03
CEC2014_F16             1.0752e+03    6.7504e+03    2.2174e+03    2.3952e+03    1.4361e+04    1.5588e+04    1.1786e+03    2.8658e+04    3.8606e+03
CEC2014_F17             1.6617e+02    2.0090e+03    1.1354e+03    5.9502e+02    1.9033e+03    1.9774e+03    3.8050e+02    2.0082e+03    1.7289e+03
CEC2014_F18             8.8067e+01    2.0286e+03    1.2081e+03    5.9961e+02    4.6159e+03    3.8669e+03    5.5188e+02    2.4474e+03    1.2271e+03
CEC2014_F19             3.7114e+02    5.4987e+03    1.8733e+03    6.6931e+02    6.3029e+03    3.5105e+03    1.4392e+03    6.2209e+03    3.0027e+03
CEC2014_F20             6.2637e+02    6.4488e+03    2.8057e+03    1.6735e+03    2.6967e+03    5.6976e+03    9.3095e+02    7.8943e+03    1.8229e+03
CEC2014_F21             8.8468e+02    1.1357e+04    2.4592e+03    5.3270e+03    8.8814e+03    7.3260e+03    2.0571e+03    9.3817e+03    1.0023e+04
CEC2014_F22             1.0772e+03    1.6094e+04    5.0047e+03    2.3856e+03    1.1590e+04    1.2856e+04    2.3968e+03    1.2616e+04    4.4444e+03
CEC2014_F23             1.8267e+02    5.1421e+02    3.8393e+02    1.2775e+02    4.6341e+02    5.3662e+02    2.5111e+02    7.2752e+02    5.5529e+02
CEC2014_F24             1.7098e+02    5.0490e+02    1.8814e+02    5.9151e+02    9.1531e+02    6.4962e+02    1.5767e+02    5.1017e+02    5.1612e+02
CEC2014_F25             2.8976e+02    5.4684e+02    4.4098e+02    4.3119e+02    1.0143e+03    7.9424e+02    1.9563e+02    4.0979e+02    2.4015e+02
CEC2014_F26             3.6337e+02    1.1793e+03    6.0107e+02    5.3182e+02    1.2456e+03    9.7941e+02    3.0537e+02    1.2703e+03    5.4085e+02
CEC2014_F27             3.5564e+02    6.5103e+02    5.5496e+02    4.5344e+02    2.1439e+03    1.8208e+03    5.0287e+02    9.8118e+02    8.0738e+02
CEC2014_F28             3.6332e+02    1.7462e+03    6.4105e+02    6.7420e+02    1.7633e+03    1.9265e+03    4.9367e+02    1.6361e+03    1.2143e+03
CEC2014_F29             1.0091e+03    1.2138e+03    8.6700e+02    6.5899e+02    1.9506e+03    1.6186e+03    5.9088e+02    5.1031e+02    5.0509e+02
CEC2014_F30             7.4059e+02    1.3896e+03    1.0083e+03    1.7109e+03    2.0894e+03    4.1144e+03    9.8087e+02    1.7626e+03    2.4777e+03
