
=== MEAN TABLE: CEC 2017 ===
Function                     MSDBO           DBO            AO           MGO           FFO          AVOA           NGO           ZOA       CoatiOA
--------------------------------------------------------------------------------------------------------------------------------------------------
CEC2017_F1              6.2021e+03    4.9996e+05    2.1769e+05    1.4342e+05    6.6051e+06    4.4597e+05    3.1333e+04    9.8803e+05    2.1092e+05
CEC2017_F2              3.3758e+04    4.1712e+06    8.2539e+05    3.7374e+05    5.5368e+06    1.0951e+06    1.6975e+05    3.5309e+06    9.1514e+05
CEC2017_F3              1.4962e+05    3.3283e+06    1.9731e+06    7.3924e+05    1.2506e+07    4.0986e+06    8.0971e+05    9.8308e+06    1.1505e+06
CEC2017_F4              4.0571e+02    1.1561e+03    5.0110e+02    4.5600e+02    7.7325e+02    5.8013e+02    4.1948e+02    1.4997e+03    6.3412e+02
CEC2017_F5              5.2016e+02    1.4716e+03    6.6307e+02    6.3452e+02    1.3120e+03    9.1680e+02    5.3557e+02    1.6294e+03    8.6640e+02
CEC2017_F6              6.1700e+02    1.4392e+03    7.6465e+02    7.5770e+02    1.9019e+03    1.4701e+03    6.7916e+02    5.5048e+03    9.2847e+02
CEC2017_F7              7.1625e+02    1.7129e+03    1.0896e+03    9.1587e+02    1.6671e+03    2.0450e+03    9.6629e+02    4.6002e+03    1.6613e+03
CEC2017_F8              8.3171e+02    3.1511e+03    1.3720e+03    1.0691e+03    2.2732e+03    1.5986e+03    9.6066e+02    6.9503e+03    1.9745e+03
CEC2017_F9              1.0498e+03    4.9399e+03    1.9374e+03    1.6922e+03    4.4778e+03    3.1918e+03    1.3603e+03    4.9603e+03    1.8267e+03
CEC2017_F10             1.1597e+03    7.6605e+03    2.8834e+03    1.4328e+03    6.5006e+03    5.3850e+03    1.2558e+03    8.5171e+03    3.0199e+03
CEC2017_F11             1.2508e+03    7.5356e+03    2.5844e+03    1.6361e+03    1.1711e+04    3.5276e+03    1.7906e+03    1.2266e+04    2.4089e+03
CEC2017_F12             1.3748e+03    7.5268e+03    2.8971e+03    2.0666e+03    1.2422e+04    7.2531e+03    2.3694e+03    1.9384e+04    7.1416e+03
CEC2017_F13             1.7194e+03    7.6066e+03    3.6782e+03    4.0025e+03    1.7794e+04    1.6503e+04    2.7277e+03    1.8427e+04    7.4439e+03
CEC2017_F14             1.7830e+03    2.7510e+04    6.5554e+03    5.0156e+03    1.6843e+04    2.4097e+04    3.9017e+03    2.2023e+04    8.6324e+03
CEC2017_F15             2.6462e+03    3.3826e+04    1.1378e+04    6.4327e+03    3.1878e+04    2.1057e+04    5.5854e+03    4.0314e+04    8.5311e+03
CEC2017_F16             3.2168e+03    3.9114e+04    1.2353e+04    7.3143e+03    2.4574e+04    1.4701e+04    1.1294e+04    1.0665e+05    9.6867e+03
CEC2017_F17             2.1790e+03    8.2369e+03    4.9023e+03    3.9376e+03    7.9402e+03    4.6353e+03    2.7826e+03    6.3450e+03    6.7617e+03
CEC2017_F18             2.6494e+03    2.0316e+04    5.5272e+03    5.5575e+03    1.2293e+04    9.1249e+03    3.5140e+03    1.4576e+04    5.8850e+03
CEC2017_F19             2.9914e+03    1.8227e+04    6.0266e+03    8.7668e+03    1.3940e+04    1.6055e+04    3.4990e+03    1.8835e+04    1.6578e+04
CEC2017_F20             3.8330e+03    1.5065e+04    1.0542e+04    8.8277e+03    2.1740e+04    1.7283e+04    8.0821e+03    1.6474e+04    1.2848e+04
CEC2017_F21             4.0673e+03    5.6421e+04    9.4411e+03    1.2405e+04    2.6166e+04    2.4603e+04    1.1511e+04    5.8212e+04    1.5447e+04
CEC2017_F22             6.8993e+03    1.0552e+05    2.9736e+04    1.7650e+04    3.4662e+04    1.7668e+04    9.5465e+03    6.8547e+04    2.4171e+04
CEC2017_F23             2.7118e+03    3.1480e+03    3.0839e+03    2.9101e+03    4.1448e+03    3.3413e+03    3.1792e+03    4.2140e+03    3.4553e+03
CEC2017_F24             2.7418e+03    3.9539e+03    3.2997e+03    3.0462e+03    4.3332e+03    4.1104e+03    2.9961e+03    4.1989e+03    3.5505e+03
CEC2017_F25             3.8814e+03    4.2855e+03    4.0439e+03    4.5284e+03    5.4053e+03    6.9167e+03    2.9708e+03    5.2614e+03    4.2225e+03
CEC2017_F26             3.3676e+03    6.9632e+03    4.6858e+03    4.3654e+03    4.7521e+03    7.2373e+03    3.6183e+03    7.2460e+03    4.0826e+03
CEC2017_F27             3.5898e+03    5.4098e+03    6.3097e+03    3.9749e+03    6.7792e+03    6.9700e+03    4.2604e+03    7.7620e+03    6.2560e+03
CEC2017_F28             3.9985e+03    1.1163e+04    5.1523e+03    5.5028e+03    8.9978e+03    5.9827e+03    4.2013e+03    8.9086e+03    4.8008e+03
CEC2017_F29             5.5438e+03    6.3904e+03    6.9048e+03    4.7681e+03    9.8557e+03    1.0624e+04    5.1566e+03    9.1765e+03    7.5495e+03
CEC2017_F30             4.8993e+03    9.6620e+03    4.5997e+03    6.4760e+03    1.7059e+04    8.5058e+03    4.9662e+03    1.0452e+04    5.8287e+03
