
=== RANK TABLE: CEC 2017 ===
Function                     MSDBO           DBO            AO           MGO           FFO          AVOA           NGO           ZOA       CoatiOA
--------------------------------------------------------------------------------------------------------------------------------------------------
CEC2017_F1                       1             7             5             3             9             6             2             8             4
CEC2017_F2                       1             8             4             3             9             6             2             7             5
CEC2017_F3                       1             6             5             2             9             7             3             8             4
CEC2017_F4                       1             8             4             3             7             5             2             9             6
CEC2017_F5                       1             8             4             3             7             6             2             9             5
CEC2017_F6                       1             6             4             3             8             7             2             9             5
CEC2017_F7                       1             7             4             2             6             8             3             9             5
CEC2017_F8                       1             8             4             3             7             5             2             9             6
CEC2017_F9                       1             8             5             3             7             6             2             9             4
CEC2017_F10                      1             8             4             3             7             6             2             9             5
CEC2017_F11                      1             7             5             2             8             6             3             9             4
CEC2017_F12                      1             7             4             2             8             6             3             9             5
CEC2017_F13                      1             6             3             4             8             7             2             9             5
CEC2017_F14                      1             9             4             3             6             8             2             7             5
CEC2017_F15                      1             8             5             3             7             6             2             9             4
CEC2017_F16                      1             8             5             2             7             6             4             9             3
CEC2017_F17                      1             9             5             3             8             4             2             6             7
CEC2017_F18                      1             9             3             4             7             6             2             8             5
CEC2017_F19                      1             8             3             4             5             6             2             9             7
CEC2017_F20                      1             6             4             3             9             8             2             7             5
CEC2017_F21                      1             8             2             4             7             6             3             9             5
CEC2017_F22                      1             9             6             3             7             4             2             8             5
CEC2017_F23                      1             4             3             2             8             6             5             9             7
CEC2017_F24                      1             6             4             3             9             7             2             8             5
CEC2017_F25                      2             5             3             6             8             9             1             7             4
CEC2017_F26                      1             7             5             4             6             8             2             9             3
CEC2017_F27                      1             4             6             2             7             8             3             9             5
CEC2017_F28                      1             9             4             5             8             6             2             7             3
CEC2017_F29                      3             4             5             1             8             9             2             7             6
CEC2017_F30                      2             7             1             5             9             6             3             8             4
--------------------------------------------------------------------------------------------------------------------------------------------------
Avg Rank                      1.13          7.13          4.10          3.10          7.53          6.47          2.37          8.30          4.87
